tag,patterns,responses,content
L152, You could always go with me.  I'm sure William has some friends., So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated puking frat boy number one golf team school. I have no say at all.,
L151, The people at this school are so incredibly foul., You could always go with me.  I'm sure William has some friends.,
L134, But imagine the things he'd say during sex., The people at this school are so incredibly foul.,
L133, I realize that the men of this fine institution are severely lacking but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy., But imagine the things he'd say during sex.,
L132, An attempted slit., I realize that the men of this fine institution are severely lacking but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.,
L131, What's this?, An attempted slit.,
L130, Just a little., What's this?,
L129, Mandella eat.  Starving yourself is a very slow way to die., Just a little.,
L128, Block E?, Mandella eat.  Starving yourself is a very slow way to die.,
L127, He always look so, Block E?,
L126, I'm sure he's completely incapable of doing anything that interesting., He always look so,
L125, That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies., I'm sure he's completely incapable of doing anything that interesting.,
L124, Patrick Verona   Random skid., That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.,
L123, Who's that?, Patrick Verona   Random skid.,
L1043, Don ' t you even dare. . ., Who's that?,
L1042, Oh Bianca?  Can you get me my freshman yearbook?, Don ' t you even dare. . .,
L1041, Because I like to torture you., Oh Bianca?  Can you get me my freshman yearbook?,
L1040, Why is my veggie burger the only burnt object on this grill?, Because I like to torture you.,
L1035, Yeah but then I fucked up. I fell for her., Why is my veggie burger the only burnt object on this grill?,
L1034, Is that right?, Yeah but then I fucked up. I fell for her.,
L1033, Besides I had some extra cash. Some asshole paid me to take out a really great girl., Is that right?,
L1032, I thought you could use it. When you start your band., Besides I had some extra cash. Some asshole paid me to take out a really great girl.,
L1031, A Fender Strat. You bought this?, I thought you could use it. When you start your band.,
L977, I didn't care about the money., A Fender Strat. You bought this?,
L976, Really?  What was it like?  A down payment now then a bonus for sleeping with me?, I didn't care about the money.,
L975, It wasn't like that., Really?  What was it like?  A down payment now then a bonus for sleeping with me?,
L974, You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!, It wasn't like that.,
L973, Wait I..., You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!,
L961, It gets worse -- you still have your freshman yearbook?, Wait I...,
L960, That ' s completely adorable!, It gets worse -- you still have your freshman yearbook?,
L959, That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail I don't know Marilyn Manson and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story., That ' s completely adorable!,
L958, What?, That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail I don't know Marilyn Manson and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.,
L957, My grandmother's ., What?,
L940, Look I'm  -- sorry -- that I questioned your motives.  I was wrong., My grandmother's .,
L939, Oh huh, Look I'm  -- sorry -- that I questioned your motives.  I was wrong.,
L938, It's just something I had.  You know, Oh huh,
L937, It's Scurvy's.  His date got convicted. Where'd you get the dress?, It's just something I had.  You know,
L936, How'd you get a tux at the last minute?, It's Scurvy's.  His date got convicted. Where'd you get the dress?,
L857, Nothing!  There's nothing in it for me. Just the pleasure of your company., How'd you get a tux at the last minute?,
L856, Answer the question Patrick, Nothing!  There's nothing in it for me. Just the pleasure of your company.,
L855, You need therapy.  Has anyone ever told you that?, Answer the question Patrick,
L854, You tell me., You need therapy.  Has anyone ever told you that?,
L853, So I have to have a motive to be with you?, You tell me.,
L852, Create a little drama?  Start a new rumor?  What?, So I have to have a motive to be with you?,
L848, Because I don't want to. It's a stupid tradition., Create a little drama?  Start a new rumor?  What?,
L847, Why not?, Because I don't want to. It's a stupid tradition.,
L846, No I won't go with you, Why not?,
L845, No what?, No I won't go with you,
L844, No., No what?,
L843, You know what I mean, No.,
L842, Is that a request or a command?, You know what I mean,
L841, Go to the prom with me, Is that a request or a command?,
L840, You're amazingly self-assured. Has anyone ever told you that?, Go to the prom with me,
L839, No one else knows, You're amazingly self-assured. Has anyone ever told you that?,
L838, What?, No one else knows,
L837, You're sweet.  And sexy.  And completely hot for me., What?,
L836, No -- something real.  Something no one else knows., You're sweet.  And sexy.  And completely hot for me.,
L835, I hate peas., No -- something real.  Something no one else knows.,
L834, Tell me something true., I hate peas.,
L832, I know the porn career's a lie., Tell me something true.,
L831, Hearsay., I know the porn career's a lie.,
L830, The duck?, Hearsay.,
L829, Fallacy., The duck?,
L828, State trooper?, Fallacy.,
L825, For. . . ?, State trooper?,
L824, You up for it?, For. . . ?,
L823, You never disappointed me., You up for it?,
L822, How?, You never disappointed me.,
L821, Then you screwed up, How?,
L820, Something like that, Then you screwed up,
L819, So if you disappoint them from the start you're covered?, Something like that,
L818, I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change., So if you disappoint them from the start you're covered?,
L817, Yes, I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.,
L816, Acting the way we do., Yes,
L815, So what's your excuse?, Acting the way we do.,
L814, Yeah well don't let it get out, So what's your excuse?,
L813, A soft side? Who knew?, Yeah well don't let it get out,
L812, I dazzled him with my wit, A soft side? Who knew?,
L811, So how'd you get Chapin to look the other way?, I dazzled him with my wit,
L810, Good call., So how'd you get Chapin to look the other way?,
L809, I figured it had to be something ridiculous to win your respect.  And piss you off., Good call.,
L808, The Partridge Family?, I figured it had to be something ridiculous to win your respect.  And piss you off.,
L806, Maybe., The Partridge Family?,
L805, You want me to climb up and show you how to get down?, Maybe.,
L804, Forget it.  I'm stayin'., You want me to climb up and show you how to get down?,
L803, Put your right foot there --, Forget it.  I'm stayin'.,
L802, Try lookin' at it from this angle, Put your right foot there --,
L801, C'mon.  It's not that bad, Try lookin' at it from this angle,
L800, I guess I never told you I'm afraid of heights., C'mon.  It's not that bad,
L799, Look up sunshine, I guess I never told you I'm afraid of heights.,
L798, He left!  I sprung the dickhead and he cruised on me., Look up sunshine,
L774, Other than my upchuck reflex? Nothing., He left!  I sprung the dickhead and he cruised on me.,
L773, So what did I have an effect on ?, Other than my upchuck reflex? Nothing.,
